Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Competitors,Average Salary,Average Revenue,Processed_JD
Computer Vision Engineer,3.6,Bukalapak,Kendari,Padang,5001 to 10000 employees,1992,Company - Government,E-commerce,Technology,"GoJek, Traveloka, Tokopedia",929,14695,"We are looking for a Computer Vision Engineer skilled in Python, Image Processing, OpenCV. Responsibilities include Work with image data, Collaborate with data scientists, Optimize image processing algorithms."
JavaScript Developer,4.9,Bank Rakyat Indonesia (BRI),Surakarta,Padang,10001+ employees,2009,Company - Subsidiary,Banking,Finance,"Bank Negara Indonesia (BNI), Bank Central Asia (BCA), Bank Mandiri",3280,41943,"Hiring a JavaScript Developer proficient in Angular, Vue.js, JavaScript. Responsibilities: Develop applications using JavaScript, Collaborate with other developers, Work with frameworks like React and Node.js."
Business Intelligence Analyst,3.1,PLN (Perusahaan Listrik Negara),Banda Aceh,Jakarta,5001 to 10000 employees,2002,Company - Subsidiary,Energy,Energy,"Pertamina, Bumi Resources",6793,75785,"We need a Business Intelligence Analyst with skills in SQL, Analytics, Data Modeling. Main tasks: Work with business stakeholders, Analyze data trends, Provide actionable insights."
Web Application Developer,4.1,Astra International,Bengkulu,Padang,1001 to 5000 employees,2002,Company - Government,Automotive,Transportation,"Blue Bird Group, Garuda Indonesia",2282,27435,"We are looking for a Web Application Developer skilled in JavaScript, APIs, Web Development. Responsibilities include Collaborate with designers, Optimize web application performance, Develop web applications."
Deep Learning Engineer,4.0,Bank Mandiri,Prabumulih,Surabaya,10001+ employees,2008,Company - Government,Banking,Finance,"Bank Rakyat Indonesia (BRI), Bank Negara Indonesia (BNI), Bank Central Asia (BCA)",4104,79344,"Hiring a Deep Learning Engineer experienced with Python, Neural Networks, Deep Learning. You will be responsible for Deploy DL solutions, Optimize neural networks, Work with TensorFlow and Keras."
Business Intelligence Analyst,3.9,Ciputra Development,Palangka Raya,Medan,10001+ employees,1999,Company - S Corporation (S Corp),Real Estate,Real Estate,,272,5075,"We need a Business Intelligence Analyst with skills in BI Tools, SQL, Analytics. Main tasks: Analyze data trends, Work with business stakeholders, Provide actionable insights."
Back-end Developer,4.0,Blue Bird Group,Padang Panjang,Surabaya,1001 to 5000 employees,2010,Company - Subsidiary,Transportation,Transportation,"Garuda Indonesia, Astra International",2431,29347,"Hiring a Back-end Developer experienced with SQL, Java, APIs. Responsibilities: Collaborate with front-end developers, Ensure application performance, Work with databases."
Machine Learning Engineer,3.1,Astra International,Singkawang,Padang,1001 to 5000 employees,2002,Company - Government,Automotive,Transportation,"Blue Bird Group, Garuda Indonesia",1825,27435,"Join our team as a Machine Learning Engineer. Skills required: Deep Learning, Scikit-Learn, TensorFlow. Responsibilities: Collaborate with data scientists, Deploy ML solutions, Develop machine learning models."
Interaction Designer,4.9,XL Axiata,Cilegon,Bandung,5001 to 10000 employees,1992,Company - Non-profit,Telecommunications,Telecommunications,"Indosat Ooredoo, Telekomunikasi Selular (Telkomsel), PT Telkom Indonesia",4468,69716,"We are looking for an Interaction Designer skilled in Adobe XD, Prototyping, Interaction Design. Responsibilities include Work with design tools, Ensure interaction quality, Design interactive experiences."
Data Scientist,4.7,Djarum,Prabumulih,Padang,10001+ employees,2007,Company - Corporation (C Corp),Tobacco,Consumer Goods,"Indofood, Gudang Garam, Unilever Indonesia",3151,52425,"We are looking for a Data Scientist to join our team. Requirements: Experience in Python, Machine Learning, Data Analysis. Responsibilities: Collaborate with cross-functional teams, Analyze data to drive insights, Develop predictive models."
NLP Engineer (Natural Language Processing),3.8,Sampoerna,Kediri,Bandung,10001+ employees,1998,Company - Holding,Tobacco,Consumer Goods,"Indofood, Unilever Indonesia, Gudang Garam",1603,25742,"Join us as an NLP Engineer. Required skills: Python, NLP, Text Mining. Duties: Use NLP libraries, Deploy NLP solutions, Develop NLP models."
IT Project Manager,4.5,Indosat Ooredoo,Kotamobagu,Surabaya,10001+ employees,2012,Company - Cooperative,Telecommunications,Telecommunications,"XL Axiata, PT Telkom Indonesia, Telekomunikasi Selular (Telkomsel)",4782,85718,"Join our team as an IT Project Manager. Skills required: IT Project Management, Scrum, Technical Background. Responsibilities: Communicate with stakeholders, Work with IT teams, Manage IT projects."
Product Manager,4.9,Sampoerna,Medan,Bandung,10001+ employees,1998,Company - Holding,Tobacco,Consumer Goods,"Indofood, Unilever Indonesia, Gudang Garam",1822,25742,"Hiring a Product Manager experienced with Scrum, Product Management, Product Development. You will be responsible for Ensure product success, Manage product lifecycle, Communicate with stakeholders."
