Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Competitors,Average Salary,Average Revenue,Processed_JD
NLP Engineer (Natural Language Processing),4.1,Unilever Indonesia,"Bandung, Indonesia","Surabaya, Indonesia",10001+ employees,2011,Company - Public,E-commerce,Technology,None,114.3,98.4,"Join us as an NLP Engineer. Required skills: NLTK, NLP, Python. Duties: Deploy NLP solutions, Develop NLP models, Collaborate with linguists."
Program Manager,4.2,Gudang Garam,"Surabaya, Indonesia","Bali, Indonesia",5001 to 10000 employees,2011,Company - Private,Software,Technology,-1,50.6,27.9,"Join us as a Program Manager. Required skills: Leadership, Program Management, Communication. Duties: Coordinate multiple projects, Communicate with stakeholders, Ensure program delivery."
Machine Learning Engineer,3.5,Garuda Indonesia,"Bandung, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2009,Company - Public,Information Technology,Technology,-1,97.8,56.2,"Join our team as a Machine Learning Engineer. Skills required: Python, Deep Learning, NLP. Responsibilities: Develop machine learning models, Optimize ML algorithms, Deploy ML solutions."
Graphic Designer,3.5,Bank Central Asia (BCA),"Jakarta, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2010,Company - Private,Information Technology,Business Services,None,96.6,52.3,"Seeking a Graphic Designer proficient in Illustrator, InDesign, Creativity. Responsibilities: Collaborate with marketing teams, Ensure design quality, Work with design tools."
Web Developer,4.4,Sampoerna,"Bandung, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2011,Company - Private,E-commerce,Technology,-1,113.3,73.5,"We need a Web Developer proficient in Node.js, HTML, JavaScript. Responsibilities: Collaborate with designers, Develop and maintain websites, Optimize web applications."
Interaction Designer,2.7,Traveloka,"Bali, Indonesia","Yogyakarta, Indonesia",1001 to 5000 employees,2012,Company - Private,E-commerce,Technology,-1,128.5,17.2,"We are looking for an Interaction Designer skilled in Interaction Design, Prototyping, Adobe XD. Responsibilities include Ensure interaction quality, Create prototypes, Design interactive experiences."
Brand Designer,3.3,PT Telkom Indonesia,"Bali, Indonesia","Jakarta, Indonesia",5001 to 10000 employees,2011,Company - Public,Information Technology,Technology,None,65.0,64.6,"Hiring a Brand Designer proficient in Brand Strategy, Graphic Design, Creativity. Responsibilities: Create visual identities, Collaborate with marketing teams, Ensure brand consistency."
Deep Learning Engineer,2.5,GoJek,"Bandung, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2013,Company - Private,E-commerce,Technology,-1,59.2,15.7,"Hiring a Deep Learning Engineer experienced with Deep Learning, Keras, Neural Networks. You will be responsible for Collaborate with data scientists, Work with TensorFlow and Keras, Deploy DL solutions."
Full-stack Developer,4.8,Djarum,"Jakarta, Indonesia","Yogyakarta, Indonesia",10001+ employees,2009,Company - Public,Information Technology,Technology,None,95.7,33.9,"We need a Full-stack Developer with skills in JavaScript, HTML, Node.js. Main tasks: Optimize full-stack applications, Develop both front-end and back-end, Work with HTML, CSS, JavaScript, and server-side languages."
UI/UX Developer,4.1,Bukalapak,"Yogyakarta, Indonesia","Bandung, Indonesia",1001 to 5000 employees,2011,Company - Private,Information Technology,Business Services,None,129.6,35.7,"Join us as a UI/UX Developer. Required skills: UI Design, UX Research, Adobe XD. Duties: Create prototypes, Conduct user research, Work with design tools."
Data Analyst,4.9,Bank Central Asia (BCA),"Jakarta, Indonesia","Jakarta, Indonesia",5001 to 10000 employees,2011,Company - Public,E-commerce,Technology,-1,123.2,37.7,"Seeking a Data Analyst proficient in Power BI, Data Visualization, Tableau. Responsibilities include Identify trends and patterns, Analyze business data, Support data-driven decision making."
Reinforcement Learning Specialist,4.7,Sinar Mas Group,"Yogyakarta, Indonesia","Yogyakarta, Indonesia",10001+ employees,2009,Company - Public,E-commerce,Business Services,-1,110.8,61.0,"Join our team as a Reinforcement Learning Specialist. Skills required: TensorFlow, Python, Reinforcement Learning. Responsibilities: Conduct experiments, Work with TensorFlow and PyTorch, Collaborate with data scientists."
UI Designer,4.3,Telekomunikasi Selular (Telkomsel),"Bandung, Indonesia","Bandung, Indonesia",10001+ employees,2009,Company - Public,Information Technology,Technology,-1,113.3,24.9,"Hiring a UI Designer experienced with Prototyping, UI Design, Figma. Responsibilities: Ensure design consistency, Collaborate with developers, Create prototypes."
IT Project Manager,5.0,Bumi Resources,"Yogyakarta, Indonesia","Yogyakarta, Indonesia",10001+ employees,2012,Company - Private,Information Technology,Business Services,-1,115.1,81.5,"Join our team as an IT Project Manager. Skills required: Technical Background, Agile, Leadership. Responsibilities: Manage project budgets, Manage IT projects, Ensure project success."
Agile Project Manager,4.9,Indofood,"Surabaya, Indonesia","Jakarta, Indonesia",5001 to 10000 employees,2009,Company - Public,E-commerce,Business Services,None,78.8,76.3,"We need an Agile Project Manager with skills in Agile, Scrum, Project Management. Main tasks: Ensure project delivery, Facilitate agile processes, Collaborate with agile teams."
Full-stack Developer,4.3,Indosat Ooredoo,"Yogyakarta, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2009,Company - Public,Information Technology,Technology,-1,147.8,34.3,"We need a Full-stack Developer with skills in HTML, JavaScript, Node.js. Main tasks: Collaborate with designers and developers, Work with HTML, CSS, JavaScript, and server-side languages, Optimize full-stack applications."
Reinforcement Learning Specialist,2.5,Bank Central Asia (BCA),"Surabaya, Indonesia","Jakarta, Indonesia",10001+ employees,2010,Company - Private,Information Technology,Business Services,-1,51.6,48.5,"Join our team as a Reinforcement Learning Specialist. Skills required: Python, Algorithms, TensorFlow. Responsibilities: Work with TensorFlow and PyTorch, Optimize RL algorithms, Develop RL models."
IT Project Manager,4.4,Bumi Resources,"Surabaya, Indonesia","Bali, Indonesia",5001 to 10000 employees,2011,Company - Public,Information Technology,Business Services,-1,63.6,45.4,"Join our team as an IT Project Manager. Skills required: Scrum, IT Project Management, Leadership. Responsibilities: Work with IT teams, Ensure project success, Communicate with stakeholders."
Data Engineer,4.7,PLN (Perusahaan Listrik Negara),"Bandung, Indonesia","Yogyakarta, Indonesia",10001+ employees,2012,Company - Public,E-commerce,Technology,-1,116.6,12.8,"Hiring a Data Engineer experienced with SQL, ETL, Big Data. You will be responsible for Develop ETL processes, Collaborate with data scientists, Work with big data technologies."
UI Designer,4.6,PT Telkom Indonesia,"Jakarta, Indonesia","Bali, Indonesia",10001+ employees,2012,Company - Public,Software,Business Services,None,118.5,72.1,"Hiring a UI Designer experienced with UI Design, Prototyping, Figma. Responsibilities: Ensure design consistency, Collaborate with developers, Work with design tools."
Deep Learning Engineer,3.1,Astra International,"Bandung, Indonesia","Jakarta, Indonesia",5001 to 10000 employees,2012,Company - Public,Information Technology,Technology,-1,111.6,93.9,"Hiring a Deep Learning Engineer experienced with Deep Learning, Keras, TensorFlow. You will be responsible for Optimize neural networks, Develop deep learning models, Work with TensorFlow and Keras."
Back-end Developer,2.6,Gudang Garam,"Jakarta, Indonesia","Bali, Indonesia",10001+ employees,2011,Company - Public,E-commerce,Technology,-1,105.6,98.1,"Hiring a Back-end Developer experienced with APIs, SQL, Python. Responsibilities: Work with databases, Develop server-side logic, Collaborate with front-end developers."
Computer Vision Engineer,4.9,XL Axiata,"Surabaya, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2009,Company - Public,Software,Business Services,None,117.5,66.5,"We are looking for a Computer Vision Engineer skilled in Python, Image Processing, Deep Learning. Responsibilities include Work with image data, Optimize image processing algorithms, Use OpenCV and TensorFlow."
UI/UX Developer,3.7,PLN (Perusahaan Listrik Negara),"Jakarta, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2013,Company - Public,Information Technology,Technology,None,136.1,29.2,"Join us as a UI/UX Developer. Required skills: UX Research, Prototyping, UI Design. Duties: Collaborate with developers, Conduct user research, Create prototypes."
Data Mining Engineer,3.7,Bukalapak,"Bandung, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2013,Company - Public,Information Technology,Technology,None,83.0,17.2,"Seeking a Data Mining Engineer proficient in Python, Algorithms, R. Responsibilities include Analyze large datasets, Provide actionable insights, Work with data scientists."
Data Scientist,2.9,Sinar Mas Group,"Yogyakarta, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2010,Company - Public,Software,Technology,None,101.3,20.1,"We are looking for a Data Scientist to join our team. Requirements: Experience in R, SQL, Data Analysis. Responsibilities: Develop predictive models, Analyze data to drive insights, Work with large datasets."
UX Designer,2.7,Astra International,"Bandung, Indonesia","Bandung, Indonesia",10001+ employees,2011,Company - Private,Software,Technology,-1,140.6,99.7,"We need a UX Designer with skills in UX Research, Adobe XD, Sketch. Main tasks: Conduct user research, Design user experiences, Ensure usability."
Research Scientist,3.7,Pertamina,"Bandung, Indonesia","Yogyakarta, Indonesia",1001 to 5000 employees,2011,Company - Public,E-commerce,Business Services,None,147.8,42.7,"Join us as a Research Scientist. Required skills: Python, Data Analysis, R. Duties: Publish research findings, Analyze experimental data, Develop new methodologies."
Web Application Developer,3.2,Ciputra Development,"Bali, Indonesia","Bandung, Indonesia",1001 to 5000 employees,2012,Company - Public,Information Technology,Business Services,None,84.7,86.7,"We are looking for a Web Application Developer skilled in CSS, Web Development, APIs. Responsibilities include Optimize web application performance, Ensure application security, Develop web applications."
UX Designer,2.8,Lippo Group,"Jakarta, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2011,Company - Private,Information Technology,Business Services,None,113.0,34.8,"We need a UX Designer with skills in UX Research, Prototyping, Adobe XD. Main tasks: Design user experiences, Ensure usability, Conduct user research."
AI Research Scientist,2.7,Bank Rakyat Indonesia (BRI)Bank Mandiri,"Surabaya, Indonesia","Yogyakarta, Indonesia",10001+ employees,2011,Company - Private,Information Technology,Technology,-1,140.3,39.8,"We need an AI Research Scientist with skills in AI, Python, Machine Learning. Main tasks: Conduct AI research, Collaborate with other researchers, Publish research papers."
Front-end Developer,3.0,Indofood,"Bandung, Indonesia","Bandung, Indonesia",10001+ employees,2010,Company - Private,Information Technology,Technology,None,141.1,43.3,"Seeking a Front-end Developer with skills in Vue.js, HTML, JavaScript. Responsibilities: Work with HTML, CSS, and JavaScript, Optimize front-end performance, Develop user interfaces."
Big Data Specialist,3.3,Ciputra Development,"Surabaya, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2010,Company - Public,Information Technology,Business Services,None,131.8,13.2,"We are looking for a Big Data Specialist skilled in Python, Big Data, Spark. Responsibilities include Ensure data scalability, Manage and analyze large datasets, Work with Hadoop and Spark."
Agile Project Manager,4.3,PT Telkom Indonesia,"Surabaya, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2011,Company - Private,Software,Business Services,None,128.7,65.1,"We need an Agile Project Manager with skills in Leadership, Agile, Scrum. Main tasks: Facilitate agile processes, Manage agile projects, Communicate with stakeholders."
UI/UX Developer,2.9,Tokopedia,"Yogyakarta, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2009,Company - Public,Software,Business Services,-1,98.8,83.2,"Join us as a UI/UX Developer. Required skills: Adobe XD, UX Research, Sketch. Duties: Design user interfaces and experiences, Conduct user research, Collaborate with developers."
Interaction Designer,4.8,Traveloka,"Jakarta, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2013,Company - Public,E-commerce,Business Services,-1,105.5,83.3,"We are looking for an Interaction Designer skilled in UI Design, User Testing, Adobe XD. Responsibilities include Create prototypes, Design interactive experiences, Collaborate with developers."
Data Engineer,3.8,Gudang Garam,"Surabaya, Indonesia","Jakarta, Indonesia",5001 to 10000 employees,2013,Company - Private,Information Technology,Business Services,None,112.1,14.2,"Hiring a Data Engineer experienced with ETL, Hadoop, Big Data. You will be responsible for Collaborate with data scientists, Develop ETL processes, Work with big data technologies."
